"ROW_NO","WAGES","EDUCATION","AGE","SEX","LANGUAGE"
"201","13.5","17","30","Male","English"
"202","13.289999961853",,"29","Female","NA"
"203",,"12","53","Female","English"
"204",,"12","50","Female","Other"
"205",,"8","64","Female","English"
"206","21.5599994659424","19.1000003814697","32","Male","English"
"207",,"12.5","30","Female","English"
"208","6.75","10","16","Male","Other"
"209",,"14.1000003814697","23","Female","English"
"210",,"8","62","Female","French"
"211","9","14","68","Female","English"
"212",,"14.6000003814697","35","Male","English"
"213","13","14.8000001907349","25","Female","Other"
"214",,"12","45","Female","English"
"215","5.53999996185303","18","23","Male","English"
"216","6.48000001907349","11","17","Male","English"
"217","40.7999992370605","16.7999992370605","39","Male","English"
"218",,"17","67","Male","English"
"219","13.0100002288818","10.5","39","Female","English"
"220",,"11","51","Male","Other"
"221","19.1700000762939","17","49","Male","English"
"222",,"13","32","Male","English"
"223",,"11.5","83","Female","English"
"224","25.75","12.5","31","Male","English"
"225","30","20","39","Male","English"
"226",,"12.5","42","Male","English"
"227",,"7","60","Male","French"
"228","9.25","10","40","Female","English"
"229","5.76000022888184","10","17","Male","English"
"230","3.75","11","17","Male","English"
"231","40.9599990844727","10.5","54","Male","English"
"232","21.3899993896484","18","41","Female","English"
"233",,"15","74","Female","English"
"234",,"13","67","Female","NA"
"235","3.11999988555908","17.5","24","Male","Other"
"236",,"11","42","Male","English"
"237",,"10.5","37","Male","English"
"238","14.960000038147","16.1000003814697","28","Female","English"
"239",,"11","55","Female","English"
"240","12.5500001907349","13","37","Male","Other"
"241","6.75","15.5","21","Female","English"
"242","10.5600004196167","11.8000001907349","21","Male","English"
"243","10.75","12.1000003814697","18","Male","English"
"244",,"10","72","Female","English"
"245","5.17000007629395","17.2999992370605","34","Female","English"
"246",,"17","46","Male","English"
"247",,"10","62","Female","English"
"248","19.1499996185303","13","50","Male","English"
"249",,"11","32","Female","English"
"250","35.6599998474121","20","48","Male","Other"
"251","9.85000038146973","13.8999996185303","20","Male","English"
"252","27.7999992370605","12","34","Female","English"
"253","13.1199998855591","12","31","Male","English"
"254","41.3800010681152","11.1000003814697","44","Male","Other"
"255","31.5","15","42","Male","English"
"256","15","17","58","Female","English"
"257","14.8500003814697","13","38","Male","French"
"258","19.2000007629395","14","28","Male","French"
"259","7.30999994277954","11","63","Female","English"
"260","13.8800001144409","12","33","Female","Other"
"261",,"13.5","70","Female","English"
"262",,"10","16","Female","English"
"263","16","11","57","Female","English"
"264","7.51999998092651","11.6000003814697","19","Male","English"
"265",,"0","80","Female","Other"
"266","12.8400001525879","12.5","26","Female","English"
"267","6.42000007629395","12.5","43","Female","English"
"268","17.5799999237061","12","31","Male","English"
"269","15.0699996948242","5","65","Male","Other"
"270",,"11","35","Female","English"
"271",,"8","64","Male","English"
"272","28.6599998474121","17","50","Male","English"
"273","6.05999994277954","12.5","20","Female","English"
"274","17.6800003051758","12","34","Male","English"
"275","28.7800006866455","16.2999992370605","40","Male","English"
"276","9.22000026702881","13","31","Female","English"
"277","7.59999990463257","11","27","Male","English"
"278","13.289999961853","8","53","Male","English"
"279",,"8","47","Male","English"
"280","7.19999980926514","14.6000003814697","19","Male","English"
"281",,"11","17","Female","English"
"282",,"12","36","Male","English"
"283",,"8","70","Male","English"
"284",,"15","47","Male","English"
"285",,"10","64","Male","French"
"286","14.0299997329712","8","39","Male","Other"
"287","23.0400009155273","14","40","Male","English"
"288","12.3000001907349","20","40","Male","English"
"289",,"13.1000003814697","41","Male","Other"
"290",,"14","52","Female","English"
"291","21.5","13.6000003814697","24","Male","English"
"292",,"5","84","Male","French"
"293","9.39999961853027","11","19","Female","English"
"294","11.5","8","59","Male","English"
"295","5.92000007629395","14.5","22","Female","English"
"296",,"14","48","Male","English"
"297",,"10.5","26","Female","English"
"298",,"13.3000001907349","46","Female","English"
"299",,"12","31","Female","English"
"300",,"11","17","Female","English"
"301",,"8.5","71","Female","English"
"302","27.7900009155273","13.5","57","Female","English"
"303",,,"79","Male","Other"
"304",,"8.5","61","Female","English"
"305",,"8","68","Female","English"
"306","17.6000003814697","16.8999996185303","39","Female","English"
"307","12","6","65","Male","French"
"308",,"14.5","25","Female","English"
"309","22.1900005340576","16","32","Male","English"
"310",,"10","70","Female","French"
"311",,"10","16","Male","English"
"312","9","14","20","Male","English"
"313","12.8299999237061","17.3999996185303","45","Female","English"
"314","5.90000009536743","10","16","Male","English"
"315",,"10","20","Female","English"
"316","15.789999961853","17.5","26","Male","English"
"317",,"17.1000003814697","25","Female","English"
"318","7.15000009536743","11","17","Male","English"
"319","21.1499996185303","12","41","Male","English"
"320",,"6","80","Male","French"
"321",,"15","38","Male","English"
"322","17.1399993896484","12.5","30","Female","French"
"323",,"12","71","Male","English"
"324",,"8","70","Male","English"
"325","19.6800003051758","11.5","34","Male","English"
"326","10","16","31","Male","English"
"327",,"6","72","Female","Other"
"328","7.65999984741211","16","20","Female","English"
"329",,"6","62","Male","Other"
"330",,"10","67","Male","English"
"331",,"8","71","Female","English"
"332","7","8","35","Female","English"
"333","14.2299995422363","9","55","Male","French"
"334","6.5","16.2999992370605","20","Female","English"
"335",,"13","48","Female","English"
"336","10.25","11.5","36","Female","English"
"337",,"13","49","Female","English"
"338","10.5","14","25","Male","French"
"339","8.92000007629395","19.1000003814697","25","Male","English"
"340",,,"56","Male","Other"
"341","26.8799991607666","13","37","Male","English"
"342","19.0699996948242","13","44","Male","English"
"343",,"6","79","Male","English"
"344","12","14.1000003814697","36","Female","English"
"345",,"13","86","Male","English"
"346","8.5","14","24","Female","English"
"347",,"10","69","Male","English"
"348","19.6700000762939","12","36","Female","Other"
"349",,"18.1000003814697","62","Male","English"
"350",,"8","84","Male","English"
"351",,"12","50","Female","French"
"352",,"13","28","Female","English"
"353",,"12","26","Female","English"
"354","23.0400009155273","20","38","Male","English"
"355",,"10","48","Female","English"
"356","15.9200000762939","20","34","Female","English"
"357",,"18","59","Male","English"
"358","8.82999992370605","10","64","Female","English"
"359","16.4599990844727","18","25","Female","English"
"360",,"8","66","Female","French"
"361","18.2399997711182","10","56","Male","English"
"362",,"12.5","42","Female","English"
"363","12","14","37","Female","English"
"364","28.7999992370605","10.1000003814697","58","Male","English"
"365",,"12","72","Male","English"
"366","34.7799987792969","18.5","46","Male","English"
"367","12.8000001907349","12.5","27","Female","English"
"368","7.5","18.7999992370605","43","Female","English"
"369","18.1900005340576","10","57","Female","English"
"370","21.5499992370605","12","34","Male","English"
"371","7","16","52","Female","French"
"372","11.3000001907349","12","43","Female","English"
"373","9.57999992370605","18","38","Male","English"
"374",,"12.5","36","Female","Other"
"375",,"10","70","Female","English"
"376",,"8","67","Male","French"
"377","15.4300003051758","17.7999992370605","38","Female","English"
"378",,"12","68","Female","English"
"379",,"12","80","Female","English"
"380",,"9.5","70","Female","English"
"381","12.5799999237061","0","38","Female","English"
"382",,"12","84","Female","English"
"383","16.2199993133545","15","46","Female","English"
"384",,"5","72","Female","English"
"385","13.6499996185303","14.5","29","Female","English"
"386",,"13","29","Female","English"
"387",,"9","68","Male","English"
"388","16.7999992370605","17","30","Female","English"
"389","8.5","13","31","Female","English"
"390",,"10.5","56","Female","English"
"391","20.2900009155273","20","39","Female","English"
"392",,"16","24","Female","French"
"393",,"12","60","Male","English"
"394","27.8999996185303","15","53","Male","English"
"395","7","12","30","Male","English"
"396","7.25","14.5","25","Female","English"
"397","14.75","16","49","Female","English"
"398",,"13.5","35","Male","French"
"399","17.4500007629395","17","40","Female","English"
"400",,"13","66","Male","English"
"401","16","16.5","46","Female","English"
"402","15.1000003814697","15.5","23","Female","English"
"403",,"8","62","Female","Other"
"404","9","10","27","Male","English"
"405","11.6000003814697","12.3000001907349","28","Female","English"
"406",,"14","46","Male","French"
"407","16.4799995422363","12","33","Male","English"
"408",,"13.5","59","Male","English"
"409",,"14","43","Female","English"
"410",,"9","66","Male","English"
"411","26.8799991607666","17","52","Male","English"
"412","9.64999961853027","14","40","Female","English"
"413",,"11","67","Female","English"
"414","23.3500003814697","20","44","Male","English"
"415","10.5900001525879","12.5","29","Female","English"
"416",,"12.5","74","Female","English"
"417","7.78999996185303","12","20","Female","English"
"418","15.0500001907349","19","44","Male","Other"
"419","6.5","13","19","Female","English"
"420","4.80000019073486","10","34","Male","Other"
"421",,"10.6000003814697","24","Female","English"
"422",,"8","51","Male","Other"
"423","21.3299999237061","20","36","Female","English"
"424","22.9899997711182","12.5","51","Female","English"
"425","16.2800006866455","16","24","Male","English"
"426","7","12","18","Male","English"
"427",,"18","69","Male","English"
"428","32.5900001525879","16","50","Female","English"
"429","9.25","9","25","Male","Other"
"430","7","13","19","Male","English"
"431","21.1200008392334","17","43","Female","English"
"432",,"10","81","Male","English"
"433","25.6000003814697",,"33","Female","French"
"434","18","13","44","Male","French"
"435","19.9400005340576","12","31","Female","Other"
"436","21.4300003051758","12","62","Female","English"
"437","5.80000019073486","14","33","Male","English"
"438",,"10","72","Male","English"
"439","17.6700000762939","13","42","Female","English"
"440","16","13","43","Female","English"
"441",,"12","52","Male","English"
"442","19.5799999237061","13","38","Male","English"
"443",,"9","64","Male","English"
"444","15.6499996185303","14","49","Male","English"
"445","15.4200000762939","14","23","Male","English"
"446","7","13","47","Female","English"
"447","11.2700004577637","9.5","34","Female","English"
"448","29.8700008392334",,"39","Female","NA"
"449","15","11","35","Male","English"
"450","27.5","10","49","Female","English"
"451",,"8","61","Female","Other"
"452",,"8","80","Male","English"
"453","7","8","50","Female","English"
"454",,"9","41","Female","English"
"455","29.5300006866455","17","44","Female","English"
"456","11.9700002670288","5.5","29","Male","Other"
"457","9","9","30","Male","Other"
"458",,"5","52","Female","Other"
"459","25.6000003814697","13","60","Male","English"
"460","15.6000003814697","13","37","Male","English"
"461",,"8","73","Female","English"
"462","11","4","54","Male","Other"
"463",,"8","52","Female","French"
"464","11.25","12","35","Male","English"
"465","32.9099998474121","18","43","Female","English"
"466","14.1999998092651","14","37","Male","English"
"467",,"10","45","Male","English"
"468","6.84999990463257","13","20","Male","English"
"469","28.7999992370605","20","44","Male","English"
"470","6.69999980926514","12","30","Male","English"
"471","42.310001373291",,"60","Male","NA"
"472","6.61999988555908","10","17","Female","English"
"473",,"12.5","41","Female","English"
"474",,"14.5","51","Female","English"
"475","28.5400009155273","15","32","Female","English"
"476","22.2700004577637","19","50","Male","English"
"477","30.7199993133545","20","40","Male","French"
"478",,"8","86","Female","English"
"479","26.3899993896484","18","33","Female","English"
"480","33.2799987792969","16.5","39","Male","English"
"481","6.3600001335144","14.5","23","Male","English"
"482",,"18","42","Female","Other"
"483",,"9","55","Female","French"
"484","12.8599996566772","13","30","Female","English"
"485","18.2900009155273","14.5","36","Male","English"
"486","13.6000003814697","16","28","Female","English"
"487","18.25","17","28","Female","English"
"488","16.6200008392334","9","32","Female","French"
"489",,"18","24","Female","English"
"490",,"7","58","Female","English"
"491","6.34999990463257","10.1000003814697","17","Female","English"
"492",,"15","48","Male","Other"
"493","15.789999961853",,"42","Male","English"
"494","21.8099994659424","13","37","Male","Other"
"495",,"13","22","Male","English"
"496","7.19000005722046","13","18","Female","English"
"497",,"6.5","68","Male","Other"
"498","25.6000003814697","18","42","Female","English"
"499","19","11","41","Female","English"
"500",,"12","84","Male","English"
"501",,"8","18","Female","English"
"502","13.0699996948242","16","44","Male","English"
"503","7","12","48","Female","English"
"504","40.9599990844727","17","43","Female","English"
"505","34.6699981689453","17","35","Female","English"
"506",,"12","22","Female","French"
"507","13.210000038147",,"24","Female","English"
"508","11.25","10.5","56","Female","Other"
"509","24","14.5","54","Male","English"
"510",,"8","62","Female","English"
"511","7","14","45","Female","English"
"512","30.6499996185303","14","50","Male","NA"
"513","9.10000038146973","12.3000001907349","19","Male","English"
"514",,"13","81","Female","English"
"515","23.0400009155273","13.5","50","Female","English"
"516",,"8","55","Male","Other"
"517",,"12","35","Male","Other"
"518","20.1000003814697","17.1000003814697","32","Female","English"
"519","13.9099998474121","18","31","Female","English"
"520","18.7199993133545","18","42","Male","English"
"521","24.3799991607666","20","30","Male","English"
"522","6.82999992370605","13","27","Female","English"
"523","20.9099998474121","16.2000007629395","26","Male","English"
"524","14.8500003814697","12","30","Female","English"
"525",,"14","60","Female","English"
"526","14.289999961853","12.5","52","Female","English"
"527",,"13","86","Female","English"
"528",,"10.5","32","Female","English"
"529",,"7","60","Male","English"
"530","8","16.1000003814697","20","Female","English"
"531","14","18","37","Male","English"
"532","8","13","23","Male","English"
